label,dataset,domain,measure_class,Structure,canonical_structure,Measure,Unit,structure_qualifier,structure_source,is_measurement,note
Neocortex_laminae_2_6_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Neocortex_laminae_2_6,Neocortex,Vol.mm3,mm3,laminae 2 6,_keys/anatomy_reference.csv,TRUE,Structure qualifier: laminae 2 6.
Neocortex_mm^3,EvoM1 traits,brain structure & size,structure_volume,Neocortex,Neocortex,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,Lewitus 2014 trait-table neocortex volume. See variable_canonical.csv for why this is NOT superseded by Neocortex_Vol.mm3. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.
Neocortex_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Neocortex,Neocortex,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Neocortex_Vol.mm3,Cell counts,brain structure & size,structure_volume,Neocortex,Neocortex,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Neocortex_white_matter_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Neocortex_white_matter,Neocortex_white_matter,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Nucleus_amygdalae_basalis_pars_magnocellularis,Nucleus_amygdalae_basalis_pars_magnocellularis,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Nucleus_habenularis_medialis_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Nucleus_habenularis_medialis,Nucleus_habenularis_medialis,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Nucleus_olivaris_inferior_accessorius_dorsalis_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Nucleus_olivaris_inferior_accessorius_dorsalis,Nucleus_olivaris_inferior_accessorius_dorsalis,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Nucleus_olivaris_inferior_accessorius_medialis_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Nucleus_olivaris_inferior_accessorius_medialis,Nucleus_olivaris_inferior_accessorius_medialis,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Nucleus_olivaris_inferior_accessorius_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Nucleus_olivaris_inferior_accessorius,Nucleus_olivaris_inferior_accessorius,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Nucleus_olivaris_inferior_principalis_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Nucleus_olivaris_inferior_principalis,Nucleus_olivaris_inferior_principalis,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Nucleus_septalis_triangularis_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Nucleus_septalis_triangularis,Nucleus_septalis_triangularis,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Nucleus_subthalamicus_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Nucleus_subthalamicus,Nucleus_subthalamicus,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Nucleus_tractus_olfactorius_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Nucleus_tractus_olfactorius,Nucleus_tractus_olfactorius,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Nucleus_vestibularis_descendens_unilateral_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Nucleus_vestibularis_descendens_unilateral,Nucleus_vestibularis_descendens,Vol.mm3,mm3,one side only,_keys/anatomy_reference.csv,TRUE,Structure qualifier: one side only.
Nucleus_vestibularis_descendens_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Nucleus_vestibularis_descendens,Nucleus_vestibularis_descendens,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Nucleus_vestibularis_lateralis_unilateral,Nucleus_vestibularis_lateralis,Vol.mm3,mm3,one side only,_keys/anatomy_reference.csv,TRUE,Structure qualifier: one side only.
Nucleus_vestibularis_lateralis_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Nucleus_vestibularis_lateralis,Nucleus_vestibularis_lateralis,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Nucleus_vestibularis_medialis_unilateral_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Nucleus_vestibularis_medialis_unilateral,Nucleus_vestibularis_medialis,Vol.mm3,mm3,one side only,_keys/anatomy_reference.csv,TRUE,Structure qualifier: one side only.
Nucleus_vestibularis_medialis_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Nucleus_vestibularis_medialis,Nucleus_vestibularis_medialis,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Nucleus_vestibularis_superior_unilateral_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Nucleus_vestibularis_superior_unilateral,Nucleus_vestibularis_superior,Vol.mm3,mm3,one side only,_keys/anatomy_reference.csv,TRUE,Structure qualifier: one side only.
Nucleus_vestibularis_superior_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Nucleus_vestibularis_superior,Nucleus_vestibularis_superior,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
OlfactoryBulb_Vol.mm3,Cell counts,brain structure & size,structure_volume,OlfactoryBulb,OlfactoryBulb,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
OlfactoryCortices_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,OlfactoryCortices,OlfactoryCortices,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
OlfactoryCortices_Vol.mm3,Cell counts,brain structure & size,structure_volume,OlfactoryCortices,OlfactoryCortices,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Palaeocortex_plus_amygdala_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Palaeocortex_plus_amygdala,Palaeocortex_plus_amygdala,Vol.mm3,mm3,,_keys/variable_catalog.csv:Stephan_etal_1970,TRUE,
Palaeocortex_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Palaeocortex,Palaeocortex,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Pallidum_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Pallidum,Pallidum,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Pons_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Pons,Pons,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Pontine_and_reticulotegmental_nuclei_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Pontine_and_reticulotegmental_nuclei,PontinePrecerebellarNuclei,Vol.mm3,mm3,,_keys/variable_catalog.csv:Ashwell__2020,TRUE,
PrefrontalCortex_grey_matter_left_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,PrefrontalCortex_grey_matter_left,PrefrontalCortex,Vol.mm3,mm3,grey matter; left hemisphere,_keys/variable_catalog.csv:Gabi_etal_2016,TRUE,Structure qualifier: grey matter; left hemisphere.
PrefrontalCortex_grey_matter_right_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,PrefrontalCortex_grey_matter_right,PrefrontalCortex,Vol.mm3,mm3,grey matter; right hemisphere,_keys/variable_catalog.csv:Gabi_etal_2016,TRUE,Structure qualifier: grey matter; right hemisphere.
PrefrontalCortex_grey_matter_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,PrefrontalCortex_grey_matter,PrefrontalCortex,Vol.mm3,mm3,grey matter,_keys/variable_catalog.csv:Gabi_etal_2016,TRUE,Structure qualifier: grey matter.
PrefrontalCortex_white_matter_left_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,PrefrontalCortex_white_matter_left,PrefrontalCortex,Vol.mm3,mm3,white matter; left hemisphere,_keys/variable_catalog.csv:Gabi_etal_2016,TRUE,Structure qualifier: white matter; left hemisphere.
PrefrontalCortex_white_matter_right_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,PrefrontalCortex_white_matter_right,PrefrontalCortex,Vol.mm3,mm3,white matter; right hemisphere,_keys/variable_catalog.csv:Gabi_etal_2016,TRUE,Structure qualifier: white matter; right hemisphere.
PrefrontalCortex_white_matter_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,PrefrontalCortex_white_matter,PrefrontalCortex,Vol.mm3,mm3,white matter,_keys/variable_catalog.csv:Gabi_etal_2016,TRUE,Structure qualifier: white matter.
Prepiriform_cortex_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Prepiriform_cortex,Prepiriform_cortex,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Retrobulbar_cortex_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Retrobulbar_cortex,Retrobulbar_cortex,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Schizo_cortex_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Schizo_cortex,Schizo_cortex,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Septum_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Septum,Septum,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Septum_Vol.mm3,Cell counts,brain structure & size,structure_volume,Septum,Septum,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Striatum_including_globus_pallidus_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Striatum_including_globus_pallidus,Striatum including globus pallidus,Vol.mm3,mm3,,_keys/variable_catalog.csv:Reep_etal_2007,TRUE,
Striatum_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Striatum,Striatum,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Striatum_Vol.mm3,Cell counts,brain structure & size,structure_volume,Striatum,Striatum,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Subiculum_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Subiculum,Subiculum,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Substantia_innominata_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Substantia_innominata,Substantia_innominata,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Subthalamus_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Subthalamus,Subthalamus,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Tectum_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Tectum,Tectum,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Tectum_Vol.mm3,Cell counts,brain structure & size,structure_volume,Tectum,Tectum,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Tegmentum_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Tegmentum,Tegmentum,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Tegmentum_Vol.mm3,Cell counts,brain structure & size,structure_volume,Tegmentum,Tegmentum,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Telencephalon_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Telencephalon,Telencephalon,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Thalamus_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Thalamus,Thalamus,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Thalamus_Vol.mm3,Cell counts,brain structure & size,structure_volume,Thalamus,Thalamus,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Total_brain_net_volume_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Total_brain_net_volume,Total_brain_net_volume,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Tractus_olfactorius_lateralis_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Tractus_olfactorius_lateralis,Tractus_olfactorius_lateralis,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Tractus_opticus_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Tractus_opticus,Tractus_opticus,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Trigeminal_motor_nucleus_left_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Trigeminal_motor_nucleus_left,Trigeminal_motor_nucleus,Vol.mm3,mm3,left hemisphere,_keys/variable_catalog.csv:Sherwood_etal_2005,TRUE,Structure qualifier: left hemisphere.
Tuberculum_olfactorium_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Tuberculum_olfactorium,Tuberculum_olfactorium,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Ventral_pons_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Ventral_pons,Ventral_pons,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Ventricle_mm^3,EvoM1 traits,brain structure & size,structure_volume,Ventricles,Ventricles,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,Lewitus 2014 trait-table ventricular volume. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.
Ventricles_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Ventricles,Ventricles,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Glia_neuron_ratio,EvoM1 traits,cellular composition,glia_stereology,VisualCortex,VisualCortex,G.p.N.Stereology,ratio,,_keys/variable_catalog.csv:Lewitus_etal_2014,TRUE,"Lewitus definitions file: ratio of glia to neuron cells in adult visual cortex; ""glia"" = astrocytes + oligodendrocytes (Lewitus 2012). Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table."
Glial_cell_density,EvoM1 traits,cellular composition,glia_stereology,VisualCortex,VisualCortex,G.p.mm3.Stereology,cells/mm3,,_keys/variable_catalog.csv:Lewitus_etal_2014,TRUE,Lewitus definitions file: adult visual cortex; cells per mm3. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.
Neuronal_density,EvoM1 traits,cellular composition,glia_stereology,VisualCortex,VisualCortex,N.p.mm3.Stereology,cells/mm3,,_keys/variable_catalog.csv:Lewitus_etal_2014,TRUE,"Companion of Glial_cell_density in the Lewitus table; stereological, NOT isotropic-fractionator N.p.mg. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table."
ILA complexity,EvoM1 traits,cellular composition,interlaminar_astrocytes,CerebralCortex,CerebralCortex,ILA_complexity,index,,_keys/anatomy_reference.csv,TRUE,Morphological complexity of pial ILA. Source table: ____EvoM1_TraitTable/interlaminar_astrocytes.xlsx — Falcone et al. 2019 interlaminar-astrocyte table.
ILA linear density,EvoM1 traits,cellular composition,interlaminar_astrocytes,CerebralCortex,CerebralCortex,ILA_linear_density,cells/mm,,_keys/anatomy_reference.csv,TRUE,ILA somata per unit length of layer I. Source table: ____EvoM1_TraitTable/interlaminar_astrocytes.xlsx — Falcone et al. 2019 interlaminar-astrocyte table.
ILA Pial Dorsal,EvoM1 traits,cellular composition,interlaminar_astrocytes,CerebralCortex,CerebralCortex,ILA_presence,category,,_keys/anatomy_reference.csv,TRUE,Presence of pial ILA dorsally (No / rudimentary / typical). Source table: ____EvoM1_TraitTable/interlaminar_astrocytes.xlsx — Falcone et al. 2019 interlaminar-astrocyte table.
ILA Pial Ventral,EvoM1 traits,cellular composition,interlaminar_astrocytes,CerebralCortex,CerebralCortex,ILA_presence,category,,_keys/anatomy_reference.csv,TRUE,Presence of pial ILA ventrally. Source table: ____EvoM1_TraitTable/interlaminar_astrocytes.xlsx — Falcone et al. 2019 interlaminar-astrocyte table.
ILA primary processes,EvoM1 traits,cellular composition,interlaminar_astrocytes,CerebralCortex,CerebralCortex,ILA_primary_processes,count,,_keys/anatomy_reference.csv,TRUE,Number of primary processes per pial ILA. Source table: ____EvoM1_TraitTable/interlaminar_astrocytes.xlsx — Falcone et al. 2019 interlaminar-astrocyte table.
ILA Subpial Dorsal,EvoM1 traits,cellular composition,interlaminar_astrocytes,CerebralCortex,CerebralCortex,ILA_presence,category,,_keys/anatomy_reference.csv,TRUE,Presence of subpial ILA dorsally. Source table: ____EvoM1_TraitTable/interlaminar_astrocytes.xlsx — Falcone et al. 2019 interlaminar-astrocyte table.
ILA Subpial Ventral,EvoM1 traits,cellular composition,interlaminar_astrocytes,CerebralCortex,CerebralCortex,ILA_presence,category,,_keys/anatomy_reference.csv,TRUE,Presence of subpial ILA ventrally. Source table: ____EvoM1_TraitTable/interlaminar_astrocytes.xlsx — Falcone et al. 2019 interlaminar-astrocyte table.
ILA total length,EvoM1 traits,cellular composition,interlaminar_astrocytes,CerebralCortex,CerebralCortex,ILA_total_length,um,,_keys/anatomy_reference.csv,TRUE,Summed process length per pial ILA. Source table: ____EvoM1_TraitTable/interlaminar_astrocytes.xlsx — Falcone et al. 2019 interlaminar-astrocyte table.
ILA total processes,EvoM1 traits,cellular composition,interlaminar_astrocytes,CerebralCortex,CerebralCortex,ILA_total_processes,count,,_keys/anatomy_reference.csv,TRUE,Number of total processes per pial ILA. Source table: ____EvoM1_TraitTable/interlaminar_astrocytes.xlsx — Falcone et al. 2019 interlaminar-astrocyte table.
Cerebellum_I.p.C,Cell counts,cellular composition,microglia_per_cell,Cerebellum,Cerebellum,I.p.C,ratio,,_keys/anatomy_reference.csv,TRUE,
CerebralCortex_I.p.C,Cell counts,cellular composition,microglia_per_cell,CerebralCortex,CerebralCortex,I.p.C,ratio,,_keys/anatomy_reference.csv,TRUE,
CerebralCortexNoHippocampus_I.p.C,Cell counts,cellular composition,microglia_per_cell,CerebralCortexNoHippocampus,CerebralCortexNoHippocampus,I.p.C,ratio,,_keys/anatomy_reference.csv,TRUE,
Hippocampus_I.p.C,Cell counts,cellular composition,microglia_per_cell,Hippocampus,Hippocampus,I.p.C,ratio,,_keys/anatomy_reference.csv,TRUE,
RoB_I.p.C,Cell counts,cellular composition,microglia_per_cell,RoB,RoB,I.p.C,ratio,,_keys/anatomy_reference.csv,TRUE,
WholeBrain_I.p.C,Cell counts,cellular composition,microglia_per_cell,WholeBrain,WholeBrain,I.p.C,ratio,,_keys/anatomy_reference.csv,TRUE,
Amygdala_N.p.mg,Cell counts,cellular composition,neuron_density,Amygdala,Amygdala,N.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
Cerebellum_N.p.mg,Cell counts,cellular composition,neuron_density,Cerebellum,Cerebellum,N.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
CerebralCortex_N.p.mg,Cell counts,cellular composition,neuron_density,CerebralCortex,CerebralCortex,N.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
CerebralCortexGrey_N.p.mg,Cell counts,cellular composition,neuron_density,CerebralCortexGrey,CerebralCortexGrey,N.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
CerebralCortexWhite_N.p.mg,Cell counts,cellular composition,neuron_density,CerebralCortexWhite,CerebralCortexWhite,N.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
DiencephalonStriatum_N.p.mg,Cell counts,cellular composition,neuron_density,DiencephalonStriatum,DiencephalonStriatum,N.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
Hippocampus_N.p.mg,Cell counts,cellular composition,neuron_density,Hippocampus,Hippocampus,N.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
Medulla_N.p.mg,Cell counts,cellular composition,neuron_density,Medulla,Medulla,N.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
Mesencephalon_N.p.mg,Cell counts,cellular composition,neuron_density,Mesencephalon,Mesencephalon,N.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
MesencephalonDiencephalonStriatum_N.p.mg,Cell counts,cellular composition,neuron_density,MesencephalonDiencephalonStriatum,MesencephalonDiencephalonStriatum,N.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
OlfactoryBulb_N.p.mg,Cell counts,cellular composition,neuron_density,OlfactoryBulb,OlfactoryBulb,N.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
Pons_N.p.mg,Cell counts,cellular composition,neuron_density,Pons,Pons,N.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
PonsMedulla_N.p.mg,Cell counts,cellular composition,neuron_density,PonsMedulla,PonsMedulla,N.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
RoB_N.p.mg,Cell counts,cellular composition,neuron_density,RoB,RoB,N.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
SpinalCord_N.p.mg,Cell counts,cellular composition,neuron_density,SpinalCord,SpinalCord,N.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
WholeBrain_N.p.mg,Cell counts,cellular composition,neuron_density,WholeBrain,WholeBrain,N.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
SpinalCord_p.C.CNS.neurons,Cell counts,cellular composition,neuron_fraction,SpinalCord,SpinalCord,p.C.CNS.neurons,%,,_keys/anatomy_reference.csv,TRUE,
Amygdala_N.n,Cell counts,cellular composition,neuron_number,Amygdala,Amygdala,N.n,count,,_keys/anatomy_reference.csv,TRUE,
Cerebellum_N.n,Cell counts,cellular composition,neuron_number,Cerebellum,Cerebellum,N.n,count,,_keys/anatomy_reference.csv,TRUE,
CerebralCortex_N.n,Cell counts,cellular composition,neuron_number,CerebralCortex,CerebralCortex,N.n,count,,_keys/anatomy_reference.csv,TRUE,
CerebralCortexGrey_N.n,Cell counts,cellular composition,neuron_number,CerebralCortexGrey,CerebralCortexGrey,N.n,count,,_keys/anatomy_reference.csv,TRUE,
CerebralCortexWhite_N.n,Cell counts,cellular composition,neuron_number,CerebralCortexWhite,CerebralCortexWhite,N.n,count,,_keys/anatomy_reference.csv,TRUE,
DiencephalonStriatum_N.n,Cell counts,cellular composition,neuron_number,DiencephalonStriatum,DiencephalonStriatum,N.n,count,,_keys/anatomy_reference.csv,TRUE,
Hippocampus_N.n,Cell counts,cellular composition,neuron_number,Hippocampus,Hippocampus,N.n,count,,_keys/anatomy_reference.csv,TRUE,
Medulla_N.n,Cell counts,cellular composition,neuron_number,Medulla,Medulla,N.n,count,,_keys/anatomy_reference.csv,TRUE,
Mesencephalon_N.n,Cell counts,cellular composition,neuron_number,Mesencephalon,Mesencephalon,N.n,count,,_keys/anatomy_reference.csv,TRUE,
MesencephalonDiencephalonStriatum_N.n,Cell counts,cellular composition,neuron_number,MesencephalonDiencephalonStriatum,MesencephalonDiencephalonStriatum,N.n,count,,_keys/anatomy_reference.csv,TRUE,
MesencephalonMedulla_N.n,Cell counts,cellular composition,neuron_number,MesencephalonMedulla,MesencephalonMedulla,N.n,count,,_keys/anatomy_reference.csv,TRUE,
OlfactoryBulb_N.n,Cell counts,cellular composition,neuron_number,OlfactoryBulb,OlfactoryBulb,N.n,count,,_keys/anatomy_reference.csv,TRUE,
Pons_N.n,Cell counts,cellular composition,neuron_number,Pons,Pons,N.n,count,,_keys/anatomy_reference.csv,TRUE,
PonsMedulla_N.n,Cell counts,cellular composition,neuron_number,PonsMedulla,PonsMedulla,N.n,count,,_keys/anatomy_reference.csv,TRUE,
RoB_N.n,Cell counts,cellular composition,neuron_number,RoB,RoB,N.n,count,,_keys/anatomy_reference.csv,TRUE,
SpinalCord_N.n,Cell counts,cellular composition,neuron_number,SpinalCord,SpinalCord,N.n,count,,_keys/anatomy_reference.csv,TRUE,
SubcorticalForebrain_N.n,Cell counts,cellular composition,neuron_number,SubcorticalForebrain,SubcorticalForebrain,N.n,count,,_keys/anatomy_reference.csv,TRUE,
WholeBrain_N.n,Cell counts,cellular composition,neuron_number,WholeBrain,WholeBrain,N.n,count,,_keys/anatomy_reference.csv,TRUE,
WholeBrainOlfactoryBulb_N.n,Cell counts,cellular composition,neuron_number,WholeBrainOlfactoryBulb,WholeBrainOlfactoryBulb,N.n,count,,_keys/anatomy_reference.csv,TRUE,
Amygdala_O.p.mg,Cell counts,cellular composition,other_cell_density,Amygdala,Amygdala,O.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
Cerebellum_O.p.mg,Cell counts,cellular composition,other_cell_density,Cerebellum,Cerebellum,O.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
CerebralCortex_O.p.mg,Cell counts,cellular composition,other_cell_density,CerebralCortex,CerebralCortex,O.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
CerebralCortexGrey_O.p.mg,Cell counts,cellular composition,other_cell_density,CerebralCortexGrey,CerebralCortexGrey,O.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
CerebralCortexWhite_O.p.mg,Cell counts,cellular composition,other_cell_density,CerebralCortexWhite,CerebralCortexWhite,O.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
DiencephalonStriatum_O.p.mg,Cell counts,cellular composition,other_cell_density,DiencephalonStriatum,DiencephalonStriatum,O.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
Hippocampus_O.p.mg,Cell counts,cellular composition,other_cell_density,Hippocampus,Hippocampus,O.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
Medulla_O.p.mg,Cell counts,cellular composition,other_cell_density,Medulla,Medulla,O.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
Mesencephalon_O.p.mg,Cell counts,cellular composition,other_cell_density,Mesencephalon,Mesencephalon,O.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
OlfactoryBulb_O.p.mg,Cell counts,cellular composition,other_cell_density,OlfactoryBulb,OlfactoryBulb,O.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
Pons_O.p.mg,Cell counts,cellular composition,other_cell_density,Pons,Pons,O.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
RoB_O.p.mg,Cell counts,cellular composition,other_cell_density,RoB,RoB,O.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
SpinalCord_O.p.mg,Cell counts,cellular composition,other_cell_density,SpinalCord,SpinalCord,O.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
WholeBrain_O.p.mg,Cell counts,cellular composition,other_cell_density,WholeBrain,WholeBrain,O.p.mg,cells/mg,,_keys/anatomy_reference.csv,TRUE,
Amygdala_O.n,Cell counts,cellular composition,other_cell_number,Amygdala,Amygdala,O.n,count,,_keys/anatomy_reference.csv,TRUE,
Cerebellum_O.n,Cell counts,cellular composition,other_cell_number,Cerebellum,Cerebellum,O.n,count,,_keys/anatomy_reference.csv,TRUE,
CerebralCortex_O.n,Cell counts,cellular composition,other_cell_number,CerebralCortex,CerebralCortex,O.n,count,,_keys/anatomy_reference.csv,TRUE,
CerebralCortexGrey_O.n,Cell counts,cellular composition,other_cell_number,CerebralCortexGrey,CerebralCortexGrey,O.n,count,,_keys/anatomy_reference.csv,TRUE,
CerebralCortexWhite_O.n,Cell counts,cellular composition,other_cell_number,CerebralCortexWhite,CerebralCortexWhite,O.n,count,,_keys/anatomy_reference.csv,TRUE,
DiencephalonStriatum_O.n,Cell counts,cellular composition,other_cell_number,DiencephalonStriatum,DiencephalonStriatum,O.n,count,,_keys/anatomy_reference.csv,TRUE,
Hippocampus_O.n,Cell counts,cellular composition,other_cell_number,Hippocampus,Hippocampus,O.n,count,,_keys/anatomy_reference.csv,TRUE,
