"canonical_specimen","record_type","specimen_kind","access_class","evidence_source_ids","specimen_name","primary_identifier","alternate_identifiers","collection","source_publication","item_reference","printed_name","published_taxon","resolved_taxon","taxon_concept","taxon_conflict","match","sex","note"
"ZILLES-HOMO-28193","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008",NA,"28193","hs28","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Homo sapiens (28193)","Homo sapiens","Homo sapiens","Homo sapiens (living/extant)","FALSE","matched","M","Public Table 1 archive label; same specimen as dissertation code hs28. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"ZILLES-HOMO-295","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008",NA,"295","hs29","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Homo sapiens (295)","Homo sapiens","Homo sapiens","Homo sapiens (living/extant)","FALSE","matched","F","Public Table 1 archive label; same specimen as dissertation code hs29. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"ZILLES-HOMO-SN382-81","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008;PUB_MACLEOD_2000",NA,"SN382/81","hs38","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Homo sapiens (SN382/81)","Homo sapiens","Homo sapiens","Homo sapiens (living/extant)","FALSE","matched","F","Public Table 1 archive label; same specimen as dissertation code hs38. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"ZILLES-HOMO-54491","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008",NA,"54491","hs5","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Homo sapiens (54491)","Homo sapiens","Homo sapiens","Homo sapiens (living/extant)","FALSE","matched","F","Public Table 1 archive label; same specimen as dissertation code hs5. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"ZILLES-HOMO-5694","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008",NA,"5694","hs56","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Homo sapiens (5694)","Homo sapiens","Homo sapiens","Homo sapiens (living/extant)","FALSE","matched","F","Public Table 1 archive label; same specimen as dissertation code hs56. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"ZILLES-HOMO-6895","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008",NA,"6895","hs6","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Homo sapiens (6895)","Homo sapiens","Homo sapiens","Homo sapiens (living/extant)","FALSE","matched","F","Public Table 1 archive label; same specimen as dissertation code hs6. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"ZILLES-PAN-1548","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008;PUB_MACLEOD_2000",NA,"1548","ptd","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Pan troglodytes (1548)","Pan troglodytes","Pan troglodytes",NA,"FALSE","matched",NA,"Public Table 1 archive label; same specimen as dissertation code ptd. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"ZILLES-PAN-WPZ-486","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008;PUB_MACLEOD_2000","Bathsheba","Bathsheba 4/97","ptb","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Pan troglodytes (Bathsheba 4/97)","Pan troglodytes","Pan troglodytes",NA,"FALSE","matched","F","Public Table 1 archive label; same specimen as dissertation code ptb. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"ZILLES-PAN-PAN1","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008;PUB_MACLEOD_2000","Schimp","Schimp 1","pt1","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Pan troglodytes (Schimp 1)","Pan troglodytes","Pan troglodytes",NA,"FALSE","matched","F","Public Table 1 archive label; same specimen as dissertation code pt1. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"ZILLES-PAN-YN89-278","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008;PUB_MACLEOD_2000",NA,"YN89-278","pty","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Pan troglodytes (YN89-278)","Pan troglodytes","Pan troglodytes",NA,"FALSE","matched","M","Public Table 1 archive label; same specimen as dissertation code pty. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"YAKOVLEV-PAN-3.1.1.0.1","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008",NA,"3.1.1.0.1","ptc1","Yakovlev-Haleem","deSousa_etal_2010","deSousa_etal_2010_Table1","Pan troglodytes (3.1.1.0.1)","Pan troglodytes","Pan troglodytes",NA,"FALSE","matched","F","Public Table 1 archive label; same specimen as dissertation code ptc1. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"YAKOVLEV-PAN-3.1.1.0.3","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008",NA,"3.1.1.0.3","ptc3","Yakovlev-Haleem","deSousa_etal_2010","deSousa_etal_2010_Table1","Pan troglodytes (3.1.1.0.3)","Pan troglodytes","Pan troglodytes",NA,"FALSE","matched","M","Public Table 1 archive label; same specimen as dissertation code ptc3. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"WELKER-PAN-56-49","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008",NA,"56_49","ptw1","Welker","deSousa_etal_2010","deSousa_etal_2010_Table1","Pan troglodytes (56_49)","Pan troglodytes","Pan troglodytes",NA,"FALSE","matched",NA,"Public Table 1 archive label; same specimen as dissertation code ptw1. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"ZILLES-PANPAN-YN86-137","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008;PUB_MACLEOD_2000",NA,"YN86-137","ppy","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Pan paniscus (YN86-137)","Pan paniscus","Pan paniscus",NA,"FALSE","matched","F","Public Table 1 archive label; same specimen as dissertation code ppy. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"ZILLES-PANPAN-ZAHLIA","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008;PUB_MACLEOD_2000","Zahlia","Zahlia 1/97","ppz","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Pan paniscus (Zahlia 1/97)","Pan paniscus","Pan paniscus",NA,"FALSE","matched","F","Public Table 1 archive label; same specimen as dissertation code ppz. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"GWU-PANPAN-MCZ-2007-52","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008",NA,"MCZ-2007-52","ppm","GWU","deSousa_etal_2010","deSousa_etal_2010_Table1","Pan paniscus (MCZ-2007-52)","Pan paniscus","Pan paniscus",NA,"FALSE","matched","F","Public Table 1 archive label; same specimen as dissertation code ppm. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"ZILLES-GORILLA-YN82-140","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008;PUB_MACLEOD_2000",NA,"YN82-140","ggy","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Gorilla gorilla (YN82-140)","Gorilla gorilla","Gorilla gorilla",NA,"FALSE","matched","F","Public Table 1 archive label; same specimen as dissertation code ggy. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"STEPHAN-GORILLA-A375","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008;PUB_MACLEOD_2000",NA,"A375","gga","Stephan","deSousa_etal_2010","deSousa_etal_2010_Table1","Gorilla gorilla (A375)","Gorilla gorilla",NA,"Gorilla sp. (indet.)","TRUE","matched","M","Public Table 1 archive label; same specimen as dissertation code gga. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"PONGO-HARRY","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008;PUB_MACLEOD_2000","Harry","Harry 2/97","ouh","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Pongo pygmaeus (Harry 2/97)","Pongo pygmaeus",NA,"Pongo pygmaeus (s.l.)","FALSE","matched","M","Public Table 1 archive label; same specimen as dissertation code ouh. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"PONGO-YN85-38","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008;PUB_MACLEOD_2000",NA,"YN85-38","ouy","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Pongo pygmaeus (YN85-38)","Pongo pygmaeus","Pongo abelii","Pongo pygmaeus (s.l.)","TRUE","matched","M","Public Table 1 archive label; same specimen as dissertation code ouy. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"PONGO-BRIGGS","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008;PUB_MACLEOD_2000","Briggs","Briggs 5/97","oub","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Pongo pygmaeus (Briggs 5/97)","Pongo pygmaeus",NA,"Pongo pygmaeus (s.l.)","FALSE","matched","M","Public Table 1 archive label; same specimen as dissertation code oub. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"ZILLES-HYLOBATES-YN81-146","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008;PUB_MACLEOD_2000",NA,"YN81-146","hly","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Hylobates lar (YN81-146)","Hylobates lar","Hylobates lar",NA,"FALSE","matched","F","Public Table 1 archive label; same specimen as dissertation code hly. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"ZILLES-HYLOBATES-GPZ-5542","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008;PUB_MACLEOD_2000","Disco","Disco 3/97","hld","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Hylobates lar (Disco 3/97)","Hylobates lar",NA,NA,"TRUE","matched","F","Public Table 1 archive label; same specimen as dissertation code hld. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"GWU-SYMPHALANGUS-880804","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008",NA,"880804","ss1","GWU","deSousa_etal_2010","deSousa_etal_2010_Table1","Symphalagus syndactylus (880804)","Symphalangus syndactylus","Symphalangus syndactylus",NA,"FALSE","matched","M","Public Table 1 archive label; same specimen as dissertation code ss1. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"ZILLES-MACACA-MA22","specimen","historical_biological_specimen","public","PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008",NA,"ma22","mf2","Zilles","deSousa_etal_2010","deSousa_etal_2010_Table1","Macaca fascicularis (ma22)","Macaca fascicularis","Macaca fascicularis",NA,"FALSE","matched","M","Public Table 1 archive label; same specimen as dissertation code mf2. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod."
"BARGER-HOMO-SN207-84","specimen","historical_biological_specimen","public","PUB_BARGER_2007",NA,"SN207/84","SN207/84","Zilles","Barger_etal_2007","Barger_etal_2007_Table1","Homo sapiens (SN207/84)","Homo sapiens","Homo sapiens","Homo sapiens (living/extant)","FALSE","Barger-only","M","Barger Table 1 specimen; no cross-publication match asserted."
"ZILLES-PAN-WPZ-486","specimen","historical_biological_specimen","public","PUB_BARGER_2007;PUB_DESOUSA_2010;PUB_MACLEOD_2000","Bathsheba","WPZ-486","Bathsheba","Zilles/Semendeferi","Barger_etal_2007","Barger_etal_2007_Table1","Pan troglodytes (Bathsheba)","Pan troglodytes","Pan troglodytes",NA,"FALSE","matched","F","Barger Table 1 age/sex/name or accession agrees with the public MacLeod/de Sousa record; amygdala values remain Barger measurements for the same physical brain."
"ZILLES-PAN-PAN1","specimen","historical_biological_specimen","public","PUB_BARGER_2007;PUB_DESOUSA_2010;PUB_MACLEOD_2000","Schimp","PAN 1","Schimp","Zilles/Semendeferi","Barger_etal_2007","Barger_etal_2007_Table1","Pan troglodytes (Schimp)","Pan troglodytes","Pan troglodytes",NA,"FALSE","matched","F","Barger Table 1 age/sex/name or accession agrees with the public MacLeod/de Sousa record; amygdala values remain Barger measurements for the same physical brain."
"ZILLES-PAN-YN89-278","specimen","historical_biological_specimen","public","PUB_BARGER_2007;PUB_DESOUSA_2010;PUB_MACLEOD_2000",NA,"YN89-278","YN89-278","Zilles/Semendeferi","Barger_etal_2007","Barger_etal_2007_Table1","Pan troglodytes (YN89-278)","Pan troglodytes","Pan troglodytes",NA,"FALSE","matched","M","Barger Table 1 age/sex/name or accession agrees with the public MacLeod/de Sousa record; amygdala values remain Barger measurements for the same physical brain."
"ZILLES-PANPAN-ZAHLIA","specimen","historical_biological_specimen","public","PUB_BARGER_2007;PUB_DESOUSA_2010;PUB_MACLEOD_2000","Zahlia","ZAHLIA/97","Zahlia","Zilles/Semendeferi","Barger_etal_2007","Barger_etal_2007_Table1","Pan paniscus (Zahlia)","Pan paniscus","Pan paniscus",NA,"FALSE","matched","F","Barger Table 1 age/sex/name or accession agrees with the public MacLeod/de Sousa record; amygdala values remain Barger measurements for the same physical brain."
"ZILLES-PANPAN-YN86-137","specimen","historical_biological_specimen","public","PUB_BARGER_2007;PUB_DESOUSA_2010;PUB_MACLEOD_2000",NA,"YN86-137","YN86-137","Zilles/Semendeferi","Barger_etal_2007","Barger_etal_2007_Table1","Pan paniscus (YN86-137)","Pan paniscus","Pan paniscus",NA,"FALSE","matched","F","Barger Table 1 age/sex/name or accession agrees with the public MacLeod/de Sousa record; amygdala values remain Barger measurements for the same physical brain."
"ZILLES-GORILLA-YN82-140","specimen","historical_biological_specimen","public","PUB_BARGER_2007;PUB_DESOUSA_2010;PUB_MACLEOD_2000",NA,"YN82-140","YN82-140","Zilles/Semendeferi","Barger_etal_2007","Barger_etal_2007_Table1","Gorilla gorilla (YN82-140)","Gorilla gorilla","Gorilla gorilla",NA,"FALSE","matched","F","Barger Table 1 age/sex/name or accession agrees with the public MacLeod/de Sousa record; amygdala values remain Barger measurements for the same physical brain."
"PONGO-HARRY","specimen","historical_biological_specimen","public","PUB_BARGER_2007;PUB_DESOUSA_2010;PUB_MACLEOD_2000","Harry","OY 1148","Harry","Zilles/Semendeferi","Barger_etal_2007","Barger_etal_2007_Table1","Pongo pygmaeus (Harry)","Pongo pygmaeus",NA,"Pongo pygmaeus (s.l.)","FALSE","matched","M","Barger Table 1 age/sex/name or accession agrees with the public MacLeod/de Sousa record; amygdala values remain Barger measurements for the same physical brain."
"PONGO-BRIGGS","specimen","historical_biological_specimen","public","PUB_BARGER_2007;PUB_DESOUSA_2010;PUB_MACLEOD_2000","Briggs","6728","Briggs","Zilles/Semendeferi","Barger_etal_2007","Barger_etal_2007_Table1","Pongo pygmaeus (Briggs)","Pongo pygmaeus",NA,"Pongo pygmaeus (s.l.)","FALSE","matched","M","Barger Table 1 age/sex/name or accession agrees with the public MacLeod/de Sousa record; amygdala values remain Barger measurements for the same physical brain."
"PONGO-YN85-38","specimen","historical_biological_specimen","public","PUB_BARGER_2007;PUB_DESOUSA_2010;PUB_MACLEOD_2000",NA,"YN85-38","YN85-38","Zilles/Semendeferi","Barger_etal_2007","Barger_etal_2007_Table1","Pongo pygmaeus (YN85-38)","Pongo pygmaeus","Pongo abelii","Pongo pygmaeus (s.l.)","TRUE","matched","M","Barger Table 1 age/sex/name or accession agrees with the public MacLeod/de Sousa record; amygdala values remain Barger measurements for the same physical brain."
"ZILLES-HYLOBATES-GPZ-5542","specimen","historical_biological_specimen","public","PUB_BARGER_2007;PUB_DESOUSA_2010;PUB_MACLEOD_2000","Disco","GPZ-5542","Disco","Zilles/Semendeferi","Barger_etal_2007","Barger_etal_2007_Table1","Hylobates lar (Disco)","Hylobates lar",NA,NA,"TRUE","matched","F","Barger Table 1 age/sex/name or accession agrees with the public MacLeod/de Sousa record; amygdala values remain Barger measurements for the same physical brain."
"ZILLES-HYLOBATES-YN81-146","specimen","historical_biological_specimen","public","PUB_BARGER_2007;PUB_DESOUSA_2010;PUB_MACLEOD_2000",NA,"732-1","YN81-146","Zilles/Semendeferi","Barger_etal_2007","Barger_etal_2007_Table1","Hylobates lar (YN81-146)","Hylobates lar","Hylobates lar",NA,"FALSE","matched","F","Barger Table 1 age/sex/name or accession agrees with the public MacLeod/de Sousa record; amygdala values remain Barger measurements for the same physical brain."
"STEPHAN-GORILLA-A375","specimen","historical_biological_specimen","public","PUB_MACLEOD_2000;PUB_DESOUSA_2010",NA,"A375","A375","Hirnforschung / Stephan-Zilles shared collection","MacLeod__2000","MacLeod__2000_APPENDIXI","GORILLA; ?EAST. LOWLAND; STEPHAN *","Gorilla gorilla",NA,"Gorilla sp. (indet.)","TRUE","matched","M","Public Appendix I identifier links this physical brain to the de Sousa and/or Barger source row; measurements remain source-specific."
"ZILLES-GORILLA-YN82-140","specimen","historical_biological_specimen","public","PUB_MACLEOD_2000;PUB_DESOUSA_2010",NA,"YN82-140","YN82-140","Hirnforschung / Stephan-Zilles shared collection","MacLeod__2000","MacLeod__2000_APPENDIXI","GORILLA; ZILLES (SEMEND.); ""JINI""","Gorilla gorilla","Gorilla gorilla",NA,"FALSE","matched","F","Public Appendix I identifier links this physical brain to the de Sousa and/or Barger source row; measurements remain source-specific."
"ZILLES-PANPAN-YN86-137","specimen","historical_biological_specimen","public","PUB_MACLEOD_2000;PUB_DESOUSA_2010",NA,"YN86-137","YN86-137","Hirnforschung / Stephan-Zilles shared collection","MacLeod__2000","MacLeod__2000_APPENDIXI","PAN PANISCUS; ZILLES (SEMEND.); ""MULIKA""","Pan paniscus","Pan paniscus",NA,"FALSE","matched","F","Public Appendix I identifier links this physical brain to the de Sousa and/or Barger source row; measurements remain source-specific."
"ZILLES-PANPAN-ZAHLIA","specimen","historical_biological_specimen","public","PUB_MACLEOD_2000;PUB_DESOUSA_2010",NA,"ZAHLIA/97","ZAHLIA/97","Hirnforschung / Stephan-Zilles shared collection","MacLeod__2000","MacLeod__2000_APPENDIXI","PAN PANISCUS; ZILLES(SEMEND.); ZAHLIA (1/97)","Pan paniscus","Pan paniscus",NA,"FALSE","matched","F","Public Appendix I identifier links this physical brain to the de Sousa and/or Barger source row; measurements remain source-specific."
"ZILLES-PAN-YN89-278","specimen","historical_biological_specimen","public","PUB_MACLEOD_2000;PUB_DESOUSA_2010","YN-YERKES","YN89-278","YN89-278; YN-YERKES","Hirnforschung / Stephan-Zilles shared collection","MacLeod__2000","MacLeod__2000_APPENDIXI","PAN TROGLODYTES; ZILLES (SEMEND.); ""HARV""","Pan troglodytes","Pan troglodytes",NA,"FALSE","matched","M","Public Appendix I identifier links this physical brain to the de Sousa and/or Barger source row; measurements remain source-specific."
"ZILLES-PAN-1548","specimen","historical_biological_specimen","public","PUB_MACLEOD_2000;PUB_DESOUSA_2010",NA,"1548","1548","Hirnforschung / Stephan-Zilles shared collection","MacLeod__2000","MacLeod__2000_APPENDIXI","PAN TROGLODYTES; ZILLES FROM ST.","Pan troglodytes","Pan troglodytes",NA,"FALSE","matched",NA,"Public Appendix I identifier links this physical brain to the de Sousa and/or Barger source row; measurements remain source-specific."
"ZILLES-PAN-PAN1","specimen","historical_biological_specimen","public","PUB_MACLEOD_2000;PUB_DESOUSA_2010",NA,"PAN 1","CHIMP 1; PAN 1","Hirnforschung / Stephan-Zilles shared collection","MacLeod__2000","MacLeod__2000_APPENDIXI","PAN TROGLODYTES; ZILLES (SEMEND.)","Pan troglodytes","Pan troglodytes",NA,"FALSE","matched","F","Public Appendix I identifier links this physical brain to the de Sousa and/or Barger source row; measurements remain source-specific."
"ZILLES-PAN-WPZ-486","specimen","historical_biological_specimen","public","PUB_MACLEOD_2000;PUB_DESOUSA_2010",NA,"WPZ-486","BATH.4/97; WPZ-486","Hirnforschung / Stephan-Zilles shared collection","MacLeod__2000","MacLeod__2000_APPENDIXI","PAN TROGLODYTES; ZILLES (SEMEND.); BATHSHEBA (4/97)","Pan troglodytes","Pan troglodytes",NA,"FALSE","matched","F","Public Appendix I identifier links this physical brain to the de Sousa and/or Barger source row; measurements remain source-specific."
"ZILLES-HYLOBATES-YN81-146","specimen","historical_biological_specimen","public","PUB_MACLEOD_2000;PUB_DESOUSA_2010",NA,"732-1","YN81-146; 732-1","Hirnforschung / Stephan-Zilles shared collection","MacLeod__2000","MacLeod__2000_APPENDIXI","GIBBON; HYLOBATES LAR; ZILLES (SEMEND.)","Hylobates lar","Hylobates lar",NA,"FALSE","matched","F","Public Appendix I identifier links this physical brain to the de Sousa and/or Barger source row; measurements remain source-specific."
"ZILLES-HYLOBATES-GPZ-5542","specimen","historical_biological_specimen","public","PUB_MACLEOD_2000;PUB_DESOUSA_2010","DISCO","GPZ-5542","DISCO (3/97); GPZ-5542","Hirnforschung / Stephan-Zilles shared collection","MacLeod__2000","MacLeod__2000_APPENDIXI","GIBBON; ZILLES(SEMEND.)",NA,NA,NA,"TRUE","matched","F","Public Appendix I identifier links this physical brain to the de Sousa and/or Barger source row; measurements remain source-specific."
"KAAS-PAN-11_38","specimen","historical_biological_specimen","public","PUB_MILLER_DISSERTATION_2017",NA,"11_38","left hemisphere; Nissl V1 series","Kaas laboratory / Vanderbilt; from Texas Biomedical Research Institute","Miller_dissertation_2017","Miller_dissertation_2017_Table3","Pan troglodytes (11_38)","Pan troglodytes","Pan troglodytes",NA,"FALSE","matched","F","Miller prints case 11_38, female, age 53, Texas source, and left V1 histology."
"KAAS-PAN-11_38","specimen","historical_biological_specimen","public","PUB_TURNER_DISSERTATION_2017;PUB_MILLER_DISSERTATION_2017",NA,"11_38","53-year-old female Texas chimp; right cortex","Kaas laboratory / Vanderbilt; from Texas Biomedical Research Institute","Turner_dissertation_2017","Turner_dissertation_2017_Chapter2","Pan troglodytes (53-year-old female)","Pan troglodytes","Pan troglodytes",NA,"FALSE","matched","F","Turner describes the same 53-year-old female, assigns the right cortex to the flattened-cortex study, and says the left hemisphere served other studies; Miller supplies case 11_38."
"KAAS-PAN-11_38","specimen","historical_biological_specimen","public","PUB_COLLINS_2016;PUB_TURNER_DISSERTATION_2017;PUB_MILLER_DISSERTATION_2017",NA,"11_38","53-year-old female Texas chimp; right flattened cortex","Kaas laboratory / Vanderbilt; from Texas Biomedical Research Institute","Collins_etal_2016","Collins_etal_2016_Table1","Pan troglodytes (53-year-old female)","Pan troglodytes","Pan troglodytes",NA,"FALSE","matched","F","Age, sex, source institution, hemisphere, and preparation match Turner's public dissertation narrative."
"KAAS-PAN-11_38","specimen","historical_biological_specimen","public","PUB_YOUNG_2013;PUB_COLLINS_2016;PUB_TURNER_DISSERTATION_2017;PUB_MILLER_DISSERTATION_2017",NA,"11_38","single Texas Biomedical chimpanzee; M1","Kaas laboratory / Vanderbilt; from Texas Biomedical Research Institute","Young_etal_2013","Young_etal_2013_Table1","Pan troglodytes","Pan troglodytes","Pan troglodytes",NA,"FALSE","probable","F","High-confidence probable same animal: Young and Collins are the same Kaas/Vanderbilt team, each reports one Texas Biomedical chimpanzee, and both report 27% neurons in M1. Turner 2016 consistently describes a singular chimpanzee while distinguishing multiple baboons. Young prints no age, sex, accession, or case number, so retain probable; never count it as independent by default."
"KAAS-OTO-08-07","specimen","historical_biological_specimen","public","PUB_COLLINS_2010;PUB_YOUNG_2013",NA,"08-07",NA,"Kaas laboratory / Vanderbilt","Collins_etal_2010","Collins_etal_2010_DatasetS1","Otolemur garnetti (08-07)","Otolemur garnetti","Otolemur garnettii",NA,"FALSE","matched",NA,"Collins prints case 08-07. Its 1849.493 mm2 and 2.8721 g cortex numerically identify it as one member of Young's three-galago sample."
"KAAS-OTO-08-07","specimen","historical_biological_specimen","public","PUB_COLLINS_2010;PUB_YOUNG_2013",NA,"08-07","one member of pooled n=3 row","Kaas laboratory / Vanderbilt","Young_etal_2013","Young_etal_2013_Table1","Otolemur garnettii (n=3)","Otolemur garnettii","Otolemur garnettii",NA,"FALSE","probable",NA,"Young omits case numbers but reports one galago at 1850 mm2 and 2.87 g, matching Collins 08-07. The Table 1 value is a three-animal mean and must not be wholly assigned to or deduplicated as this specimen."
"KAAS-AOTUS-07-78","specimen","historical_biological_specimen","public","PUB_COLLINS_2010;PUB_YOUNG_2013",NA,"07-78",NA,"Kaas laboratory / Vanderbilt","Collins_etal_2010","Collins_etal_2010_DatasetS1","Aotus nancymae (07-78)","Aotus nancymae","Aotus nancymaae",NA,"FALSE","matched",NA,"Collins prints case 07-78; piece totals are 5.2155 g and 2036.45 mm2."
"KAAS-AOTUS-07-78","specimen","historical_biological_specimen","public","PUB_COLLINS_2010;PUB_YOUNG_2013",NA,"07-78","single owl monkey","Kaas laboratory / Vanderbilt","Young_etal_2013","Young_etal_2013_Table1","Aotus nancymaae (n=1)","Aotus nancymaae","Aotus nancymaae",NA,"FALSE","probable",NA,"Young omits a case number but reports one Vanderbilt owl monkey at 5.21 g and about 2000 mm2, closely matching Collins 07-78."
"KAAS-PAPIO-09-27","specimen","historical_biological_specimen","public","PUB_COLLINS_2010;PUB_YOUNG_2013;PUB_YOUNG_2013_B;PUB_TURNER_2016",NA,"09-27","9-27; PHX","Kaas laboratory / Vanderbilt; from Washington National Primate Research Center","Collins_etal_2010","Collins_etal_2010_DatasetS1","Papio cynocephalus anubis (09-27)","Papio cynocephalus anubis","Papio cynocephalus anubis",NA,"TRUE","matched","F","Collins case 09-27 is the identity anchor; its 18577.4 mm2 cortical surface recurs across the paper chain. The later PHX label identifies an anubis/cynocephalus hybrid."
"KAAS-PAPIO-09-27","specimen","historical_biological_specimen","public","PUB_COLLINS_2010;PUB_YOUNG_2013;PUB_YOUNG_2013_B;PUB_TURNER_2016",NA,"09-27","baboon 1; PHX","Kaas laboratory / Vanderbilt; from Washington National Primate Research Center","Young_etal_2013","Young_etal_2013_Table1","Papio cynocephalus anubis","Papio cynocephalus anubis","Papio cynocephalus anubis",NA,"TRUE","probable","F","Young's M1 paper omits case numbers, but the Washington source and exact 18577 mm2 total cortical surface identify this row as probable case 09-27."
"KAAS-PAPIO-09-27","specimen","historical_biological_specimen","public","PUB_COLLINS_2010;PUB_YOUNG_2013_B;PUB_TURNER_2016",NA,"09-27","PHX","Kaas laboratory / Vanderbilt; from Washington National Primate Research Center","Young_etal_2013_b","Young_etal_2013_b_Table1","Papio hamadryas anubis/cynocephalus hybrid (PHX; 09-27)","Papio hamadryas anubis/cynocephalus hybrid","Papio cynocephalus anubis",NA,"TRUE","matched","F","Young 2013b prints case 09-27 and identifies it as the Washington NPRC normal baboon; duplicate of Collins 2010."
